airport_ident,length_ft,width_ft,closed,le_ident,he_ident
BR-0657,2133.0,98.0,0,15,33
BR-0672,2621.0,59.0,0,01,19
BR-0673,59.0,59.0,0,H1,H1
BR-0687,2953.0,59.0,0,11,29
BR-0688,4265.0,59.0,0,15,33
BR-0689,2953.0,66.0,0,17,35
BR-0690,5020.0,66.0,0,03,21
BR-0693,3937.0,75.0,0,10,28
BR-0698,3609.0,98.0,0,12,30
BR-0702,20.0,20.0,0,H1,11
BR-0705,4265.0,66.0,0,02,20
BR-0706,2625.0,66.0,0,12,30
BR-0707,3773.0,72.0,0,01,19
BR-0708,3527.0,59.0,0,07,25
BR-0716,2297.0,59.0,0,16,34
BR-0718,3281.0,59.0,0,10,26
BR-0754,59.0,59.0,0,12,H1
BR-0833,3937.0,66.0,0,14,32
BR-0888,4167.0,98.0,0,08,26
BR-0889,2625.0,59.0,0,02,20
BR-0899,4265.0,66.0,0,14,32
BR-0905,3937.0,66.0,0,08,26
BR-0928,66.0,66.0,0,32,-
BR-0929,3937.0,66.0,0,12,30
BR-0930,64.0,64.0,0,18,36
BR-0931,69.0,69.0,0,02,-
BR-0932,3281.0,59.0,0,03,21
BR-0933,2297.0,82.0,0,13,31
BR-0940,59.0,59.0,0,26,-
BR-0947,79.0,79.0,0,10,28
BR-0955,2953.0,59.0,0,12,30
BR-0976,2493.0,66.0,0,11,29
BR-0979,66.0,66.0,0,14,-
BR-1045,79.0,79.0,0,21,-
BR-1068,1640.0,59.0,0,18,36
BR-1071,3937.0,98.0,0,05,23
BR-1075,2297.0,59.0,0,01,19
BR-1077,66.0,66.0,0,34,-
BR-1080,3937.0,82.0,0,01,19
BR-1085,66.0,66.0,0,11,-
BR-1108,70.0,70.0,0,3,17
BR-1122,3281.0,59.0,0,17,35
BR-1129,1716.0,59.0,0,08,26
BR-1149,2625.0,75.0,0,11,29
BR-1150,3937.0,98.0,0,9,27
BR-1163,3500.0,,1,02,20
BR-1186,3937.0,66.0,0,02,20
BR-1188,66.0,66.0,0,8,26
BR-1191,2621.0,59.0,0,15,33
BR-1193,74.0,74.0,0,30,-
BR-1194,4921.0,66.0,0,02,20
BR-1228,64.0,64.0,0,02,-
BR-1235,3500.0,,0,06,22
BR-1237,69.0,69.0,0,36,-
BR-1244,2625.0,59.0,0,09,27
BR-1246,2621.0,76.0,0,14,32
BR-1250,69.0,69.0,0,17,-
BR-1264,1968.0,82.0,0,03,21
BR-1266,64.0,64.0,0,12,-
BR-1269,820.0,49.0,0,01,19
BR-1310,2461.0,59.0,0,18,36
BR-1311,3527.0,75.0,0,11,29
BR-1312,3051.0,59.0,0,17,35
BR-1327,64.0,64.0,0,28,
BR-1355,2625.0,59.0,0,18,36
BR-1356,3281.0,79.0,0,3,21
BR-1369,5249.0,66.0,0,11,29
BR-1383,4925.0,66.0,0,06,24
BR-1384,59.0,59.0,0,28,-
BR-1388,2953.0,59.0,0,15,33
BR-1391,3281.0,59.0,0,09,27
BR-1393,4265.0,82.0,0,18,36
BR-1394,4593.0,66.0,0,18,36
BR-1419,3937.0,59.0,0,04,22
BR-1439,2303.0,66.0,0,11,29
BR-1467,69.0,69.0,0,13,-
BR-1478,3373.0,98.0,0,11,29
BR-1479,2231.0,36.0,0,12,30
BR-1481,2625.0,59.0,0,09,27
BR-1482,2625.0,59.0,0,08,26
BR-1484,4921.0,82.0,0,18,36
BR-1485,2461.0,59.0,0,17,35
BR-1489,1804.0,66.0,0,10,28
BR-1490,4593.0,66.0,0,03,21
BR-1490,66.0,66.0,0,03H,21H
BR-1491,3937.0,59.0,0,01,19
BR-1494,2625.0,59.0,0,14,32
BR-1495,2789.0,59.0,0,01,19
BR-1496,3281.0,164.0,0,17,35
BR-1497,3281.0,59.0,0,04,22
BR-1498,59.0,59.0,0,26,-
BR-1499,2132.0,59.0,0,08,26
BR-1500,3281.0,66.0,0,04,22
BR-1502,69.0,69.0,0,04,-
BR-1503,1640.0,66.0,0,03,21
BR-1504,4757.0,66.0,0,09,27
BR-1504,66.0,66.0,0,09H,27H
BR-1506,2625.0,59.0,0,12,30
BR-1507,3261.0,33.0,0,08,26
BR-1508,3018.0,66.0,0,03,21
BR-1514,2625.0,66.0,0,09,27
BR-1515,69.0,69.0,0,08,-
BR-1516,66.0,66.0,0,14,-
BR-1519,1926.0,66.0,0,01,19
BR-1520,64.0,64.0,0,12,-
BR-1521,2625.0,66.0,0,15,33
BR-1522,3608.0,75.0,0,13,31
BR-1523,69.0,69.0,0,16,-
BR-1524,3937.0,66.0,0,03,21
BR-1526,3445.0,66.0,0,11,29
BR-1528,4593.0,75.0,0,09,27
BR-1529,79.0,79.0,0,05,-
BR-1530,79.0,79.0,0,11,-
BR-1531,3465.0,98.0,0,13,31
BR-1532,4593.0,49.0,0,09,27
BR-1538,3281.0,66.0,0,03,21
BR-1539,2789.0,75.0,0,03,21
BR-1540,2953.0,59.0,0,12,30
BR-1545,2953.0,75.0,0,01,19
BR-1546,1312.0,59.0,0,05,23
BR-1549,3281.0,59.0,0,12,30
BR-1551,66.0,66.0,0,16,-
BR-1552,1968.0,103.0,0,H08,H26
BR-1554,2953.0,59.0,0,18,36
BR-1555,4921.0,59.0,0,11,29
BR-1556,4921.0,59.0,0,08,26
BR-1558,2625.0,59.0,0,18,36
BR-1559,3281.0,59.0,0,15,33
BR-1561,3281.0,59.0,0,08,26
BR-1570,4429.0,66.0,0,04,22
BR-1571,2623.0,75.0,0,06,24
BR-1572,3937.0,72.0,0,12,30
BR-1573,59.0,59.0,0,33,-
BR-1574,3937.0,82.0,0,06,24
BR-1575,3445.0,59.0,0,07,25
BR-1576,2238.0,66.0,0,07,25
BR-1577,66.0,66.0,0,13,-
BR-1578,59.0,59.0,0,12,-
BR-1579,69.0,69.0,0,8,-
BR-1584,1968.0,59.0,0,08,25
BR-1585,3278.0,66.0,0,01,19
BR-1586,1968.0,59.0,0,01,19
BR-1587,3445.0,66.0,0,12,30
BR-1588,59.0,59.0,0,19,
BR-1589,2621.0,59.0,0,02,20
BR-1593,3281.0,66.0,0,07,25
BR-1594,59.0,59.0,0,31,
BR-1595,69.0,69.0,0,33,
BR-1596,59.0,59.0,0,9,27
BR-1597,4921.0,59.0,0,08,25
BR-1598,3281.0,98.0,0,08,26
BR-1599,64.0,64.0,0,06,
BR-1603,4593.0,98.0,0,12,30
BR-1605,2789.0,59.0,0,16,34
BR-1606,3609.0,79.0,0,18,36
BR-1607,2461.0,66.0,0,05,23
BR-1608,59.0,59.0,0,5,
BR-1609,4921.0,82.0,0,18,36
BR-1610,66.0,66.0,0,11,
BR-1612,2297.0,59.0,0,10,28
BR-1613,3281.0,59.0,0,01,19
BR-1614,3609.0,66.0,0,01,19
BR-1615,3281.0,59.0,0,16,34
BR-1616,2461.0,59.0,0,03,21
BR-1617,1312.0,59.0,0,04,22
BR-1621,3937.0,59.0,0,02,20
BR-1623,2625.0,66.0,0,01,19
BR-1624,59.0,59.0,0,22,
BR-1625,3117.0,59.0,0,09,27
BR-1626,3937.0,66.0,0,05,23
BR-1627,3281.0,66.0,0,07,25
BR-1628,59.0,59.0,0,9,
BR-1629,92.0,92.0,0,,
BR-1636,2953.0,75.0,0,17,35
BR-1637,1804.0,66.0,0,01,19
BR-1638,5249.0,98.0,0,14,32
BR-1663,1968.0,59.0,0,17,35
BR-1671,66.0,66.0,0,11,24
BR-1673,656.0,59.0,0,08,26
BR-1675,6562.0,98.0,0,10,28
BR-1678,69.0,69.0,0,25,
BR-1679,66.0,66.0,0,10,25
BR-1680,79.0,79.0,0,20,
BR-1681,1640.0,59.0,0,17,35
BR-1683,4101.0,75.0,0,11,29
BR-1684,3281.0,79.0,0,18,36
BR-1685,3281.0,98.0,0,2,20
BR-1686,3281.0,59.0,0,17,35
BR-1687,59.0,59.0,0,1,
BR-1689,79.0,79.0,0,05,23
BR-1693,2297.0,66.0,0,07,25
BR-1697,3215.0,59.0,0,15,33
BR-1699,4340.0,98.0,0,03,21
BR-1700,45.0,45.0,0,,
BR-1701,4160.0,72.0,0,13,31
BR-1702,2953.0,59.0,0,05,23
BR-1705,2625.0,59.0,0,02,20
BR-1709,2625.0,72.0,0,13,31
BR-1710,64.0,64.0,0,32,14
BR-1711,64.0,64.0,0,20,
BR-1712,66.0,66.0,0,08,
BR-1718,2953.0,66.0,0,17,35
BR-1720,2461.0,59.0,0,02,20
BR-1721,64.0,64.0,0,03,21
BR-1722,2625.0,59.0,0,18,36
BR-1723,2953.0,59.0,0,14,32
BR-1724,2625.0,59.0,0,18,36
BR-1725,59.0,59.0,0,20,
BR-1726,69.0,69.0,0,30,
BR-1728,2822.0,66.0,0,08,26
BR-1729,72.0,72.0,0,5A,21D
BR-1730,64.0,64.0,0,4,
BR-1734,59.0,58.0,0,19,
BR-1735,2625.0,59.0,0,2,20
BR-1736,3281.0,66.0,0,15,33
BR-1737,1969.0,59.0,0,7,25
BR-1738,2625.0,98.0,0,01,19
BR-1738,3937.0,115.0,1,18,36
BR-1739,3937.0,75.0,0,02,20
BR-1740,2953.0,82.0,0,4,22
BR-1748,2625.0,66.0,0,07,25
BR-1750,64.0,64.0,0,08,
BR-1751,69.0,69.0,0,11,
BR-1752,64.0,64.0,0,16,
BR-1753,3281.0,33.0,0,10,28
BR-1754,2215.0,59.0,0,06,24
BR-1755,66.0,66.0,0,13,
BR-1756,3937.0,75.0,0,16,34
BR-1757,65.0,65.0,0,22,
BR-1758,3281.0,59.0,0,05,23
