airport_ident,length_ft,width_ft,closed,le_ident,he_ident
00A,80.0,80.0,0,H1,
00AK,2500.0,70.0,0,N,S
00AL,2300.0,200.0,0,01,19
00AN,4517.0,60.0,0,3,21
00AR,40.0,40.0,0,H1,H1
00AS,1450.0,60.0,0,1,19
00AZ,1700.0,60.0,0,15,33
00CA,6000.0,80.0,0,04,22
00CO,3900.0,20.0,0,16,34
00FA,3200.0,100.0,0,08,26
00FD,74.0,74.0,0,H1,
00FL,4090.0,100.0,0,12,30
00GA,2600.0,80.0,0,09,27
00GE,125.0,95.0,0,H1,
00HI,1155.0,45.0,0,H1,
00ID,3300.0,40.0,0,08,26
00ID,2700.0,40.0,0,11,29
00IL,2500.0,75.0,0,18,36
00IN,40.0,40.0,0,H1,
00IS,1600.0,70.0,0,09,24
00KS,2600.0,85.0,0,17,35
00KY,2100.0,100.0,0,01,19
00LA,40.0,40.0,0,H1,
00LL,25.0,25.0,0,H1,
00LS,2600.0,100.0,0,18,36
00MD,1700.0,75.0,0,14,32
00MI,100.0,100.0,0,H1,
00MN,2949.0,200.0,0,06,24
00MO,2400.0,25.0,0,08,26
00N,1900.0,150.0,0,18,36
00NC,2650.0,36.0,0,05,23
00NJ,50.0,50.0,0,H1,
00NR,50.0,50.0,0,H1,
00NY,2350.0,80.0,0,03,21
00OH,2695.0,90.0,0,08,26
00OI,42.0,42.0,0,H1,
00OK,2200.0,60.0,0,17,35
00PA,80.0,80.0,0,H1,
00PN,500.0,75.0,0,12,30
00PS,3100.0,100.0,0,08,26
00S,2600.0,90.0,0,06,24
00SC,2900.0,100.0,0,08,26
00SD,2400.0,50.0,0,18,36
00TA,85.0,85.0,0,H1,
00TE,48.0,48.0,0,H1,
00TN,1800.0,150.0,0,09,27
00TS,1200.0,45.0,0,01,19
00TT,2429.0,80.0,0,18,36
00TX,50.0,50.0,0,H1,
00VA,1300.0,100.0,0,01,19
00VI,1500.0,50.0,0,09,27
00W,3400.0,50.0,0,14,32
00WA,1105.0,70.0,0,08,26
00WI,1000.0,60.0,0,09,27
00WN,1440.0,50.0,0,05,23
00WV,1800.0,100.0,0,05,23
00XS,1475.0,75.0,0,17,35
01A,1175.0,40.0,0,08,26
01AK,40.0,40.0,0,H1,
01AL,2500.0,160.0,0,N,S
01AR,55.0,55.0,0,H1,
01AZ,210.0,150.0,0,H1,
01C,2517.0,120.0,0,09,27
01CA,20.0,20.0,0,H1,
01CL,3100.0,50.0,0,09,27
01CN,60.0,60.0,0,H1,
01CO,125.0,40.0,0,H1,
01CT,70.0,70.0,0,H1,
01FA,2000.0,100.0,0,10,28
01FA,1500.0,100.0,0,18,36
01FD,110.0,110.0,0,H1,
01FL,3000.0,50.0,0,18,36
01GA,65.0,65.0,0,H1,
01GE,2560.0,75.0,0,10,28
01IA,2575.0,50.0,0,17,35
01ID,2894.0,100.0,0,14,32
01IL,416.0,216.0,0,H1,
01IN,45.0,45.0,0,H1,
01IS,1300.0,100.0,0,09,27
01J,3365.0,125.0,0,18,36
01K,2460.0,110.0,0,17,35
01KS,2400.0,100.0,0,18,36
01KY,40.0,40.0,0,H1,
01LA,2000.0,60.0,0,09,27
01LL,1600.0,70.0,0,02,20
01LS,1800.0,150.0,0,09,27
01MA,32.0,32.0,0,H1,
01MD,3500.0,100.0,0,16,34
01ME,5000.0,500.0,0,02,20
01ME,5000.0,500.0,0,15,33
01MI,50.0,50.0,0,H1,
01MN,10000.0,600.0,0,E,W
01MN,10000.0,600.0,0,NW,SE
01MO,37.0,37.0,0,H1,
01MT,5000.0,70.0,0,13,31
01MU,54.0,54.0,0,H1,
01NC,3200.0,75.0,0,03,21
01NC,2000.0,75.0,0,18,36
01NE,2750.0,50.0,0,10,28
01NH,600.0,50.0,0,17,35
01NJ,125.0,80.0,0,H1,
01NM,2700.0,70.0,0,02,20
01NM,2000.0,70.0,0,9,27
01NR,50.0,50.0,0,H1,
01NV,2000.0,60.0,0,18,36
01NY,100.0,75.0,0,H1,
01OH,100.0,100.0,0,H1,
01OI,30.0,30.0,0,H1,
01OK,2640.0,25.0,0,17,35
01OL,1600.0,75.0,0,5,23
01OR,4800.0,60.0,0,07,25
01PA,60.0,60.0,0,H1,
01PN,1700.0,100.0,0,06,24
01PS,1200.0,120.0,0,03,21
01SC,2580.0,118.0,0,18,36
01TA,30.0,30.0,0,H1,
01TE,2433.0,55.0,0,04,22
01TN,2700.0,100.0,0,18,36
01TX,500.0,60.0,0,09,27
01TX,700.0,60.0,0,18,36
01U,2700.0,75.0,0,03,21
01U,3400.0,80.0,0,15,33
01UT,3200.0,40.0,0,E,W
01VA,1500.0,60.0,0,03,21
01WA,36.0,36.0,0,H1,
01WI,2300.0,120.0,0,01,19
01WN,40.0,40.0,0,H1,
01WT,28.0,28.0,0,H1,
01WY,4360.0,75.0,0,12,30
01WY,2600.0,65.0,0,16,34
01XA,50.0,50.0,0,H1,H1
01XS,50.0,50.0,0,H1,
02AK,2200.0,45.0,0,15,33
02AL,2000.0,150.0,0,18,36
02AR,4400.0,45.0,0,07,25
02AZ,4500.0,80.0,0,17,35
02CA,55.0,55.0,0,H1,
02CD,2500.0,100.0,0,15,33
02CL,3000.0,60.0,0,16,34
02CO,2670.0,50.0,0,17,35
02CT,50.0,50.0,0,H1,
02FA,2485.0,150.0,0,18,36
02FD,3443.0,150.0,0,1,19
02FL,1800.0,100.0,0,12,30
02GA,1200.0,100.0,0,08,26
02GA,1500.0,100.0,0,13,31
02GE,3400.0,100.0,0,09,27
02HI,100.0,100.0,0,H1,
02IA,50.0,50.0,0,H1,
02ID,2000.0,100.0,0,NE,SW
02II,1100.0,100.0,0,10,28
02IN,1020.0,150.0,0,09,27
02IS,40.0,40.0,0,H1,
02KS,1650.0,100.0,0,11,29
02KS,1950.0,150.0,0,18,36
02KY,100.0,100.0,0,H1,
02LA,20.0,20.0,0,H1,
02LS,24.0,24.0,0,H1,
02MA,50.0,50.0,0,H1,
02MD,2000.0,75.0,0,9,27
02ME,2400.0,60.0,0,14,32
02MI,2000.0,100.0,0,09,27
02MN,1897.0,192.0,0,03,21
02MN,2500.0,192.0,0,12,30
02MN,2553.0,82.0,0,13,31
02MO,2200.0,50.0,0,08,26
02MS,2150.0,60.0,0,12,30
02MU,1900.0,125.0,0,N,S
02NC,100.0,100.0,0,H1,
02NH,3000.0,300.0,0,18W,36W
02NH,20.0,20.0,0,H1,
02NR,50.0,50.0,0,H1,
02NV,2200.0,50.0,0,09,27
02NY,25.0,25.0,0,H1,
02OH,2750.0,50.0,0,09,27
02OI,1500.0,75.0,0,E,W
02OR,2000.0,30.0,0,E,W
02P,100.0,100.0,0,H1,
02PA,60.0,50.0,0,H1,
02PN,40.0,40.0,0,H1,
02PR,2000.0,50.0,0,06,24
02PS,500.0,100.0,0,01,19
02SC,3600.0,150.0,0,04,22
02T,4050.0,60.0,0,02,20
02TA,32.0,32.0,0,H1,
02TE,40.0,40.0,0,H1,
02TN,1600.0,120.0,0,11,29
02TX,4800.0,80.0,0,17,35
02UT,4000.0,30.0,0,07,25
02UT,4000.0,50.0,0,16,34
02VA,3000.0,80.0,0,18,36
02WA,2650.0,50.0,0,16,34
02WI,2200.0,60.0,0,18,36
02WN,1500.0,30.0,0,13,31
02XA,1950.0,50.0,0,18,36
02XS,1500.0,40.0,0,02,20
02XS,1320.0,40.0,0,11,29
03AK,1000.0,70.0,0,07,25
03AK,6000.0,500.0,0,N,S
03AK,2600.0,500.0,0,NE,SW
03AL,50.0,50.0,0,H1,
03AR,117.0,117.0,0,H1,
03AZ,3600.0,60.0,0,E,W
03CA,40.0,40.0,0,H1,
03CO,4000.0,30.0,0,13,31
03FA,2000.0,200.0,0,E,W
03FD,2000.0,50.0,0,09,27
03FL,50.0,40.0,0,H1,
03GA,1990.0,65.0,0,10,28
03GA,1955.0,60.0,0,11,29
03I,2375.0,90.0,0,13,31
03IA,2000.0,150.0,0,N,S
03ID,1800.0,100.0,0,11,29
03II,1000.0,200.0,0,N,S
03IL,2600.0,105.0,0,18,36
03IS,40.0,40.0,0,H1,
03KS,25.0,25.0,0,H1,
03KY,2300.0,80.0,0,03,21
03LA,60.0,60.0,0,H1,
03LS,40.0,40.0,0,H1,
03M,3800.0,200.0,0,02,20
03MA,1600.0,60.0,0,12,30
03MD,50.0,50.0,0,H1,
03ME,2400.0,90.0,0,18,36
03MI,20.0,20.0,0,H1,
03MN,1940.0,75.0,0,17,35
03MO,2200.0,50.0,0,15,33
03MS,60.0,60.0,0,H1,
03MU,2400.0,24.0,0,17,35
03N,2400.0,50.0,0,07,25
03NC,2750.0,40.0,0,09,27
03ND,2600.0,50.0,0,17,35
03NE,2200.0,200.0,0,01,19
03NH,12.0,80.0,0,H1,
03NV,3200.0,30.0,0,18,36
03NY,2000.0,75.0,0,16,34
03OH,2100.0,60.0,0,N,S
03OH,2200.0,60.0,0,NE,SW
03OI,60.0,60.0,0,H1,
03OK,1200.0,50.0,0,18,36
03OL,1900.0,30.0,0,18,36
03OR,2950.0,60.0,0,07,25
03PA,130.0,80.0,0,H1,
03PN,100.0,100.0,0,H1,
03PR,2926.0,65.0,0,9,27
03PS,675.0,90.0,0,14,32
03PS,925.0,90.0,0,16,34
03PS,1130.0,90.0,0,18,36
03S,2115.0,100.0,0,08,26
03SC,40.0,40.0,0,H1,
03TE,3500.0,100.0,0,12,30
03TN,20.0,20.0,0,H1,
03TS,90.0,90.0,0,H1,
03TT,3000.0,50.0,0,18,36
03TX,150.0,150.0,0,H1,
03UT,5000.0,35.0,0,NE,SW
03UT,3250.0,35.0,0,NW,SE
03WA,2800.0,60.0,0,18,36
03WI,1500.0,60.0,0,N,S
03WN,2000.0,70.0,0,07,25
03XA,54.0,54.0,0,H1,
03XS,3200.0,50.0,0,04,22
03XS,1600.0,50.0,0,15,33
04AA,1300.0,100.0,0,16,34
04AA,825.0,68.0,0,5,23
04AL,100.0,100.0,0,H1,
04AR,40.0,40.0,0,H1,
04CA,5000.0,150.0,0,08,26
04CL,1900.0,100.0,0,08,26
04CT,50.0,100.0,0,H1,
04F,2400.0,20.0,1,15,33
04FA,2620.0,212.0,0,09,27
04FL,3000.0,100.0,0,09,27
04I,2382.0,120.0,0,06,24
04IA,2310.0,84.0,0,18,36
04ID,3000.0,25.0,0,07,25
04II,1372.0,72.0,0,18,36
04IL,1700.0,70.0,0,N,S
04IN,4000.0,1000.0,0,13W,31W
04IS,2200.0,150.0,0,09,27
04KS,400.0,60.0,0,H1,
04KY,1700.0,30.0,0,15,33
04LA,40.0,40.0,0,H1,
04LL,3700.0,70.0,0,09,27
04LS,60.0,60.0,0,H1,
04MA,2100.0,300.0,0,16,34
04MD,50.0,50.0,0,H1,
04ME,1950.0,120.0,0,15,33
04MI,2000.0,100.0,0,18,36
04MN,2500.0,150.0,0,10,28
04MO,2600.0,150.0,0,18,36
04MS,3400.0,100.0,0,17,35
04MT,2100.0,100.0,0,E,W
04MT,1900.0,100.0,0,N,S
04NC,91.0,35.0,0,H1,
04NE,2500.0,100.0,0,N,S
04NJ,3500.0,50.0,0,08,26
04NR,78.0,36.0,0,H1,
04NV,3240.0,45.0,0,02,20
04NY,5200.0,50.0,0,02,20
04OG,50.0,100.0,0,H1,
04OH,2200.0,70.0,0,N,S
04OK,45.0,45.0,0,H1,
04PA,100.0,100.0,0,H1,
04PN,70.0,70.0,0,H1,
04SC,50.0,50.0,0,H1,
04SD,46.0,46.0,0,H1,H1
04TA,60.0,40.0,0,H1,
04TE,30.0,30.0,0,H1,
04TN,3000.0,50.0,0,01,19
04TS,20.0,20.0,0,H1,
04TT,4645.0,55.0,0,18,36
04TX,2000.0,50.0,0,12,30
04UT,3700.0,50.0,0,04,22
04V,7745.0,55.0,0,10,28
04VA,50.0,50.0,0,H1,
04VG,3500.0,80.0,0,01,19
04VG,1800.0,70.0,0,11,29
04VT,1300.0,40.0,0,06,24
04W,2751.0,75.0,0,06,24
04WA,1800.0,60.0,0,N,S
04WI,1800.0,100.0,0,09,27
04WN,4100.0,60.0,0,11,29
04WV,40.0,40.0,0,H1,
04XS,80.0,60.0,0,H1,
05AK,2000.0,75.0,0,01,19
05AL,1600.0,50.0,0,H1,
05AL,1600.0,50.0,0,H2,
05AL,1600.0,50.0,0,H3,
05AL,1600.0,50.0,0,H4,
05AL,1600.0,50.0,0,H5,
05AL,1600.0,50.0,0,H6,
05AN,1250.0,100.0,0,5,23
05AR,2000.0,100.0,0,06,24
05AZ,40.0,40.0,0,H1,
05B,4000.0,200.0,0,NW,SE
05CA,78.0,78.0,0,H1,
05CL,3700.0,60.0,0,10,28
05CO,2650.0,60.0,0,18,36
05CT,50.0,50.0,0,H1,
05FA,2950.0,100.0,0,08,26
05FD,95.0,95.0,0,H1,
05FL,3200.0,60.0,0,09,27
05FL,1600.0,50.0,0,15,33
05GA,2200.0,60.0,0,18,36
05IA,2450.0,65.0,0,09,27
05ID,2000.0,70.0,0,03,21
05II,1800.0,100.0,0,09,27
05IL,3200.0,70.0,0,10,28
05IN,2000.0,100.0,0,08,26
05IS,2000.0,100.0,0,09,27
05KS,2350.0,50.0,0,17,35
05KT,600.0,50.0,0,9,27
05KY,1270.0,150.0,0,02,20
05LA,2200.0,70.0,0,18,36
05LL,120.0,120.0,0,H1,
05LS,2300.0,100.0,0,02,20
05MA,100.0,40.0,0,H1,
05MD,2700.0,80.0,0,18,36
05ME,900.0,40.0,0,E,W
05MO,30.0,30.0,0,H1,
05MS,40.0,40.0,0,H1,
05NC,40.0,40.0,0,H1,
05NE,3210.0,80.0,0,15,33
05NH,100.0,100.0,0,H1,
05NJ,60.0,60.0,0,H1,
05NY,75.0,75.0,0,H1,
05OG,50.0,50.0,0,H1,
05OI,2000.0,100.0,0,09,27
05OK,2200.0,90.0,0,17,35
05OR,2600.0,50.0,0,11,29
05OR,75.0,75.0,0,H1,
05PA,70.0,70.0,0,H1,
05PN,120.0,120.0,0,H1,
05PS,2319.0,100.0,0,06,24
05S,2940.0,45.0,0,09,27
05TA,1700.0,40.0,0,17,35
05TE,1500.0,50.0,0,15,33
05TS,1700.0,90.0,0,17,35
05TX,2075.0,50.0,0,15,33
05UT,3950.0,50.0,0,14,32
05V,6160.0,52.0,0,03,21
05VA,2000.0,40.0,0,18,36
05VT,80.0,80.0,0,H1,
05WA,40.0,40.0,0,H1,
05WI,1800.0,60.0,0,E,W
05WN,1700.0,50.0,0,09,27
05XS,2600.0,100.0,0,01,19
05Y,3280.0,200.0,0,17,35
06AK,2000.0,40.0,0,02,20
06AL,1600.0,75.0,0,H1,
06AL,1600.0,75.0,0,H2,
06AL,1600.0,75.0,0,H3,
06AL,1600.0,75.0,0,H4,
06AL,1600.0,75.0,0,H5,
06AL,1600.0,75.0,0,H6,
06AL,1600.0,75.0,0,H7,
06AR,2900.0,125.0,0,16,34
06AZ,80.0,80.0,0,H1,
06B,15000.0,4000.0,0,02,20
06CA,20.0,20.0,0,H1,
06CL,46.0,46.0,0,H1,
06CO,4500.0,75.0,0,17,35
06FA,7003.0,150.0,0,09,27
06FD,3400.0,120.0,0,18,36
06FL,200.0,100.0,0,H1,
06GA,300.0,300.0,0,H1,
06I,16000.0,3500.0,0,E,W
06IA,1750.0,100.0,0,09,27
06ID,2200.0,80.0,0,09,27
06IL,2580.0,70.0,0,09,27
06IS,2600.0,70.0,0,18,36
06KS,25.0,25.0,0,H1,
06KY,60.0,60.0,0,H1,
06LA,39.0,39.0,0,H1,
06LL,40.0,40.0,0,H1,
06LS,40.0,40.0,0,H1,
06MA,15.0,15.0,0,H1,
06MD,60.0,60.0,0,H1,
06MI,45.0,45.0,0,H1,
06MI,45.0,45.0,0,H2,
06MO,3000.0,30.0,0,15,33
06MT,2200.0,60.0,0,E,W
06N,2811.0,60.0,0,08,26
06NC,2600.0,90.0,0,09,27
06ND,2800.0,50.0,0,08,26
06NE,130.0,95.0,0,H1,
06NH,1900.0,150.0,0,17,35
06NY,2000.0,75.0,0,15,33
06O1,40.0,40.0,0,H1,
06OH,2400.0,100.0,0,09,27
06OI,2256.0,45.0,0,09,27
06OK,300.0,100.0,0,H1,
06OR,1000.0,80.0,0,N,S
06PA,2965.0,100.0,0,08,26
06PN,15.0,15.0,0,H1,
06PN,80.0,80.0,0,H2,
06R,2480.0,30.0,0,15,33
06SN,2400.0,75.0,0,17,35
06TA,1900.0,15.0,0,N,S
06TE,3500.0,50.0,0,08,26
06TN,2000.0,50.0,0,05,23
06TT,3129.0,75.0,0,13,31
06TX,1680.0,60.0,0,01,19
06VA,2000.0,100.0,0,05,23
06WA,60.0,40.0,0,H1,
06WN,2845.0,30.0,0,09,27
06XS,1750.0,100.0,0,16,34
06Y,2997.0,60.0,0,14,32
07AL,6000.0,1200.0,0,H1,
07AR,3000.0,60.0,0,11,29
07B,3186.0,100.0,0,16,34
07CA,40.0,40.0,0,H1,
07CL,2220.0,50.0,0,16,34
07CO,3100.0,75.0,0,02,20
07D,2244.0,65.0,0,18,36
07FA,4500.0,70.0,0,04,22
07FL,67.0,65.0,0,H1,
07GA,1700.0,80.0,0,09,27
07GE,1860.0,75.0,0,3,21
07I,15000.0,4000.0,0,NE,SW
07IA,1600.0,60.0,0,18,36
07ID,3000.0,75.0,0,NW,SE
07II,60.0,60.0,0,H1,
07IN,1860.0,80.0,0,N,S
07K,3700.0,60.0,0,15,33
07KS,2000.0,45.0,0,18,36
07KY,2000.0,100.0,0,11,29
07LA,30.0,15.0,0,H1,
07LS,50.0,50.0,0,H1,
07MA,120.0,60.0,0,H1,
07MD,1000.0,70.0,0,17,35
07ME,900.0,200.0,0,H1,
07MI,2904.0,100.0,0,09,27
07MN,2600.0,50.0,0,E,W
07MO,2700.0,40.0,0,17,35
07MT,13500.0,300.0,0,10,28
07N,2200.0,100.0,0,16,34
07NC,2000.0,50.0,0,08,26
07NH,2500.0,200.0,0,05W,23W
07NH,2500.0,200.0,0,17W,35W
07NJ,45.0,45.0,0,H1,
07NY,50.0,50.0,0,H1,
07OH,30.0,30.0,0,H1,
07OK,2400.0,80.0,0,17,35
07OR,1200.0,100.0,0,17,35
07PN,1600.0,100.0,0,09,27
07PR,45.0,45.0,0,H1,
07TA,2200.0,125.0,1,06,24
07TA,200.0,200.0,0,H1,H1
07TE,5000.0,100.0,0,13,31
07TN,1800.0,75.0,0,07,25
07TS,2500.0,75.0,0,17,35
07TX,400.0,50.0,0,H1,
07VA,1600.0,50.0,0,16,34
07VT,526.0,20.0,0,05,23
07VT,595.0,20.0,0,14,32
07WA,53.0,53.0,0,H1,
07WI,1500.0,50.0,0,09,27
07WY,2200.0,50.0,0,13,31
07XA,37.0,37.0,0,H1,-
07XS,30.0,30.0,0,H1,
07Y,2850.0,150.0,0,16,34
08AK,1200.0,80.0,0,01,19
08AL,4000.0,200.0,0,9W,27W
08AR,50.0,50.0,0,H1,
08AZ,42.0,42.0,0,H1,
08B,1935.0,100.0,0,14,32
08CA,60.0,60.0,0,H1,
08CL,2000.0,50.0,0,E,W
08CN,50.0,50.0,0,H1,
08CO,2600.0,75.0,0,09,27
08CT,4700.0,1400.0,0,01,19
08F,2584.0,80.0,0,17,35
08FA,3390.0,75.0,0,09,27
08FD,4138.0,104.0,0,18,36
08FL,2500.0,100.0,0,03,21
08G,60.0,56.0,0,H1,
08GA,5000.0,150.0,0,03,21
08ID,2500.0,60.0,0,NW,SE
08II,30.0,30.0,0,H1,
08IL,2200.0,75.0,0,09,27
08IN,5000.0,1600.0,0,13W,31W
08IS,1320.0,70.0,0,18,36
08KS,2700.0,99.0,0,17,35
08KT,40.0,40.0,0,H1,
08KY,2500.0,60.0,0,09,27
08LA,30.0,15.0,0,H1,
08LL,2190.0,100.0,0,18,36
08LS,2000.0,60.0,0,18,36
08MA,1000.0,18.0,0,04,22
08MD,45.0,45.0,0,H1,
08ME,2300.0,90.0,0,13,31
08MI,60.0,60.0,0,H1,
08MN,11088.0,6000.0,0,18,36
08MO,2640.0,50.0,0,03,21
08MO,2140.0,48.0,0,18,36
08MS,3725.0,50.0,0,07,25
08MT,2600.0,80.0,0,07,25
08N,2635.0,120.0,0,07,25
08NC,3200.0,50.0,0,18,36
08ND,1300.0,75.0,0,17,35
08NE,3000.0,100.0,0,11,29
08NH,80.0,80.0,0,H1,
08NJ,90.0,90.0,0,H1,
08NR,1400.0,40.0,0,2,20
08NY,550.0,60.0,0,01,19
08NY,500.0,40.0,0,10,28
08OH,3000.0,50.0,0,E,W
08OK,1800.0,50.0,0,08,26
08OL,1029.0,40.0,0,18,36
08OR,2800.0,20.0,0,18,36
08PA,200.0,150.0,0,H1,
08PN,50.0,50.0,0,H1,
08R,2129.0,30.0,0,11,29
08SD,42.0,42.0,0,H1,
08TA,200.0,100.0,0,H1,
08TE,3100.0,50.0,0,16,34
08TT,2015.0,75.0,0,4,22
08TX,2100.0,30.0,0,09,27
08TX,1800.0,100.0,0,18,36
08U,3600.0,50.0,0,01,19
08VA,1800.0,50.0,0,09,27
08WA,100.0,100.0,0,H1,
08XS,2350.0,100.0,0,03,21
09AA,22.0,24.0,0,H1,H1
09AK,1300.0,60.0,0,06,24
09AR,135.0,100.0,0,H1,
09AZ,2350.0,80.0,0,06,24
09CA,65.0,65.0,0,H1,
09CL,3000.0,50.0,0,01,19
09CN,50.0,50.0,0,H2,
09CO,3250.0,65.0,0,09,27
09FA,4800.0,50.0,0,18,36
09FD,2649.0,100.0,0,18,36
09FL,3000.0,150.0,0,09,27
09GA,2400.0,70.0,0,09,27
09I,5000.0,1000.0,0,05,23
09I,5000.0,1000.0,0,08,26
09IA,2700.0,80.0,0,09,27
09ID,2300.0,100.0,0,09,27
09II,1600.0,100.0,0,E,W
09IL,40.0,40.0,0,H1,
09IN,2200.0,70.0,0,09,27
09IN,2200.0,50.0,0,18,36
09IS,39.0,31.0,0,H1,
09KS,2500.0,60.0,0,17,35
09KY,50.0,50.0,0,H1,
09LA,50.0,50.0,0,H1,
09LL,2300.0,80.0,0,17,35
09LS,40.0,40.0,0,H1,
09MA,1700.0,50.0,0,09,27
09MA,2000.0,100.0,0,15,33
09ME,2000.0,100.0,0,04,22
09MI,40.0,40.0,0,H1,
09MO,1320.0,50.0,0,E,W
09N,1863.0,75.0,0,02,20
09NC,2400.0,80.0,0,16,34
09NE,2500.0,50.0,0,18,36
09NJ,100.0,100.0,0,H1,
09NR,1800.0,35.0,0,9,27
09NR,24.0,24.0,0,H1,H1
09NR,24.0,24.0,0,H2,H2
09NY,100.0,100.0,0,H1,
09OK,2500.0,50.0,0,01,19
09OR,50.0,50.0,0,H1,
09PA,2300.0,200.0,0,06,24
09S,1765.0,150.0,0,16,34
09TA,2400.0,40.0,0,17,35
09TE,2815.0,45.0,0,16,34
09TN,80.0,80.0,0,H1,
09TS,4200.0,42.0,0,09,27
09TX,2340.0,120.0,0,10,28
09TX,1220.0,120.0,0,14,32
09TX,5200.0,120.0,0,E,W
09VA,1100.0,50.0,0,05,23
09VG,96.0,60.0,0,H1,
09W,60.0,60.0,0,H1,
09WA,60.0,60.0,0,H1,
09WI,2500.0,100.0,0,N,S
09XS,90.0,90.0,0,H1,
09Y,8000.0,500.0,0,17,35
0AA7,2539.0,100.0,0,18,36
0AK,2541.0,55.0,0,07,25
0AK0,1050.0,70.0,0,08,26
0AK1,3000.0,2000.0,0,06W,24W
0AK1,2200.0,50.0,0,08,26
0AK2,1000.0,150.0,0,03,21
0AK3,900.0,100.0,0,14,32
0AK5,1550.0,120.0,0,02,20
0AK6,1700.0,60.0,0,11,29
0AK7,2400.0,75.0,0,06,24
0AK8,150.0,150.0,0,H1,H1
0AK9,2000.0,30.0,0,17,35
0AL0,90.0,90.0,0,H1,
0AL1,2640.0,70.0,0,17,35
0AL2,24.0,21.0,0,H1,
0AL3,24.0,24.0,0,H1,
0AL4,30.0,30.0,0,H1,
0AL5,2200.0,100.0,0,15,33
0AL6,49.0,49.0,0,H1,
0AL7,30.0,30.0,0,H1,
0AL8,55.0,55.0,0,H1,
0AL9,2200.0,50.0,0,09,27
0AR0,60.0,60.0,0,H1,
0AR2,2800.0,60.0,0,18,36
0AR3,2000.0,50.0,0,E,W
0AR4,11.0,11.0,0,H1,
0AR5,42.0,42.0,0,H1,
0AR6,20.0,20.0,0,H1,
0AR7,2200.0,50.0,0,18,36
0AR8,30.0,30.0,0,H1,
0AR9,10.0,10.0,0,H1,
0AZ0,40.0,40.0,0,H1,
0AZ1,2000.0,40.0,0,03,21
0AZ1,3250.0,50.0,0,14,32
0AZ1,2500.0,75.0,0,16,34
0AZ2,1500.0,100.0,0,12,30
0AZ2,3500.0,100.0,0,17,35
0AZ4,2900.0,130.0,0,01,19
0AZ5,1400.0,60.0,0,17,35
0AZ6,40.0,45.0,0,H1,
0AZ6,40.0,45.0,0,H2,
0AZ6,40.0,45.0,0,H3,
0AZ7,50.0,50.0,0,H1,
0B2,1730.0,30.0,0,01,19
0B7,2575.0,30.0,0,04,22
0C1,2375.0,35.0,0,02,20
0C2,2640.0,100.0,0,09,27
0C5,3800.0,100.0,0,18,36
0C7,3980.0,200.0,0,18,36
0C8,2831.0,180.0,0,18,36
0CA0,86.0,86.0,0,H1,
0CA1,2482.0,30.0,1,08,26
0CA2,45.0,45.0,0,H1,
0CA3,2100.0,20.0,0,10,28
0CA4,3600.0,50.0,0,06,24
0CA5,1400.0,30.0,0,11,29
0CA6,2400.0,40.0,0,04,22
0CA7,85.0,85.0,0,H1,
0CA8,2250.0,50.0,0,12,30
0CA9,3300.0,60.0,0,16,34
0CD0,50.0,50.0,0,H1,
0CD1,45.0,45.0,0,H1,
0CD2,2500.0,50.0,0,08,26
0CD2,5000.0,100.0,0,17,35
0CD4,25.0,25.0,0,H1,
0CD5,4500.0,70.0,0,04,22
0CD6,40.0,40.0,0,H1,
0CD7,956.0,300.0,0,06,24
0CD8,50.0,50.0,0,H1,
0CD9,50.0,50.0,0,H1,
0CL0,3720.0,75.0,0,17,35
0CL1,3360.0,100.0,0,07,25
0CL1,2040.0,100.0,0,16,34
0CL2,113.0,55.0,0,H1,
0CL3,1800.0,50.0,0,05,23
0CL3,2400.0,50.0,0,09,27
0CL4,50.0,50.0,0,H1,
0CL5,58.0,58.0,0,H1,
0CL6,1900.0,70.0,0,09,27
0CL7,65.0,65.0,0,H1,
0CL8,3500.0,80.0,0,06,24
0CL8,80.0,80.0,0,H1,
0CL9,20.0,20.0,0,H1,
0CO0,100.0,100.0,0,H1,
0CO1,2500.0,60.0,0,N,S
0CO2,4000.0,40.0,0,11,29
0CO3,4200.0,30.0,0,18,36
0CO4,120.0,108.0,0,H1,
0CO6,4500.0,150.0,0,02,20
0CO6,4000.0,150.0,0,10,28
0CO7,152.0,64.0,0,H1,
0CO8,2000.0,30.0,0,17,35
0CO9,2600.0,50.0,0,E,W
0CT0,36.0,36.0,0,H1,
0CT1,50.0,50.0,0,H1,
0CT2,40.0,40.0,0,H1,
0CT3,60.0,60.0,0,H1,
0CT5,50.0,50.0,0,H1,
0CT6,65.0,65.0,0,H1,
0CT7,66.0,48.0,0,H1,
0CT8,60.0,60.0,0,H1,
0CT9,60.0,75.0,0,H1,
0D6,2150.0,300.0,0,14,32
0D6,2345.0,300.0,0,18,36
0D7,1955.0,110.0,0,09,27
0E9,3270.0,80.0,0,09,27
0E9,3000.0,100.0,0,11W,29W
0FA0,200.0,150.0,0,H1,
0FA1,1800.0,75.0,0,09,27
0FA2,50.0,50.0,0,H2,
0FA3,20.0,20.0,0,H1,
0FA6,45.0,45.0,0,H1,
0FD0,4000.0,75.0,0,09,27
0FD1,50.0,40.0,0,H1,
0FD2,48.0,48.0,0,H1,
0FD3,2100.0,50.0,0,08,26
0FD3,4000.0,40.0,0,13,31
0FD5,2100.0,100.0,0,09,27
0FD6,3000.0,100.0,0,02W,20W
