ident,type,name,iata_code
SNWZ,small_airport,Uruba Airport,
SNXA,small_airport,Machado Airport,
SNXB,small_airport,Caxambu Airport,
SNXD,small_airport,Fazenda Beradão Airport,
SNXE,small_airport,Aero Z Ferrus Airport,
SNXF,small_airport,Retiro Santo Antônio da Fazenda Triunfo Airport,
SNXG,small_airport,Fazenda dos Castanhais Airport,
SNXH,small_airport,Itapecuru Airport,
SNXI,small_airport,Estância Turística de Pereira Barreto Airport,
SNXK,small_airport,Fazenda Lagoa do Triunfo Airport,
SNXL,small_airport,Primavera Airport,
SNXM,small_airport,Fazenda Itumbiara Airport,
SNXN,small_airport,Heringer Airport,
SNXO,small_airport,Fazenda Bom Sucesso Airport,
SNXQ,small_airport,Xique-Xique Airport,
SNXR,small_airport,Fazenda Conforto Airport,
SNXS,small_airport,Fazenda São Braz Airport,
SNXT,small_airport,Pousada Alvorada Airport,
SNXV,small_airport,Fazenda Lagoa das Conchas Airport,
SNXW,small_airport,Chaves Airport,
SNXX,small_airport,Maxaranguape Airport,
SNXY,small_airport,Cikel Brasil Verde Airport,
SNYA,small_airport,Almeirim Airport,GGF
SNYB,small_airport,Ituiutaba Airport,
SNYC,small_airport,Rosa Branca Airport,
SNYD,small_airport,Pilão Arcado Airport,
SNYE,small_airport,Pinheiro Airport,PHI
SNYF,small_airport,Fazenda Parnaíba Airport,
SNYH,small_airport,Fazenda Vale Sereno Airport,
SNYI,small_airport,Fazenda HJ Airport,
SNYJ,small_airport,Pista São Jorge Airport,
SNYL,small_airport,Fazenda São João Airport,
SNYM,small_airport,Fazenda Flexas Airport,
SNYN,small_airport,Fazenda Rio das Pedras Airport,
SNYO,small_airport,Fazenda Logradouro Vereda da Ponte Airport,
SNYP,small_airport,Chácara Paraíso Airport,
SNYQ,small_airport,Pista São Pedro Airport,
SNYR,small_airport,Fazenda Água Azul Airport,
SNYS,small_airport,WD Agroindustrial Airport,
SNYT,small_airport,Ituaçu Airport,
SNYU,small_airport,Iturama Airport,
SNYV,small_airport,Fazenda Socôco Airport,
